Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.0,Sun Jun 24 19:03:02 +0000 2018,0.0,1.0,0.0,"Follow the inner workings of @nytimes, one of the most prolific American media outlets, during the first 12 months… https://t.co/sTcKSPw5QW",40,@BBC
-0.5574,Sun Jun 24 18:32:03 +0000 2018,0.153,0.847,0.0,🚗 🇸🇦 Women in Saudi Arabia are hitting the road as the country's ban on women driving officially ends. https://t.co/RLv1njCk5t,41,@BBC
0.5994,Sun Jun 24 18:10:27 +0000 2018,0.0,0.755,0.245,"RT @BBCWthrWatchers: Beautiful ""night shining"" clouds, captured by our Weather Watchers #NoctilucentClouds https://t.co/FE9F3YQ3Kd",42,@BBC
-0.5267,Sun Jun 24 18:04:04 +0000 2018,0.195,0.805,0.0,"This. Will. Hurt.

@IdrisElba returns as the inimitable DCI #Luther. Coming soon to @BBCOne. https://t.co/AOmhtLjldy",43,@BBC
0.6705,Sun Jun 24 17:08:05 +0000 2018,0.078,0.658,0.263,"43% of female festival goers under 40 say they've faced unwanted sexual behaviour at a music festival, a new survey… https://t.co/Wd5gcaHCgH",44,@BBC
0.0,Sun Jun 24 16:02:06 +0000 2018,0.106,0.787,0.106,"Imagine waking up one morning and you've lost the ability to speak or move your hands.
(via @BBCThree) https://t.co/M8IJVGSoE7",45,@BBC
0.0,Sun Jun 24 15:18:03 +0000 2018,0.0,1.0,0.0,"In the aftermath of Hurricane Maria, Michelin-starred @chefjoseandres managed to feed more Puerto Ricans than any g… https://t.co/HHjrHbsIb8",46,@BBC
0.5859,Sun Jun 24 14:29:47 +0000 2018,0.0,0.888,0.112,"RT @BBCMOTD: #ENG win 6-1 ✅
On a Sunday ✅
In the Sun ✅

Live scenes across England right now ☀🎉

#ENGPAN https://t.co/pOqaVykdHG",47,@BBC
0.0,Sun Jun 24 14:20:08 +0000 2018,0.0,1.0,0.0,"❤️💍 Game of Thrones stars, Rose Leslie and Kit Harington have tied the knot at a ceremony in Aberdeenshire.
👉… https://t.co/VzvDpNHgRO",48,@BBC
-0.4215,Sun Jun 24 13:03:02 +0000 2018,0.135,0.865,0.0,"💔🦍 Koko the gorilla sadly passed away this week, aged 46.

This is the story of her life. https://t.co/rIRb7mHpJx",49,@BBC
0.0,Sun Jun 24 12:02:03 +0000 2018,0.0,1.0,0.0,🐛 Did you know there's a whole world on the back of a sloth?  https://t.co/wRWmXa7j4R,50,@BBC
0.8268,Sun Jun 24 11:04:03 +0000 2018,0.0,0.688,0.312,"🥑🥕🌞 These summery vegan dishes are perfect for when it's hot (and still delicious when it's not!) 

👉… https://t.co/n8Nra5f9Jl",51,@BBC
0.2942,Sun Jun 24 10:52:39 +0000 2018,0.0,0.897,0.103,"RT @BBCWorld: ""At last!""

Saudi Arabia becomes the last country in the world to allow women to drive. https://t.co/vfOqNTBk9o https://t.co/…",52,@BBC
0.3612,Sun Jun 24 10:03:02 +0000 2018,0.0,0.783,0.217,"Getting ready for #ENG v #PAN like... ️⚽️🏆💪 @JKCorden #WorldCup 

https://t.co/EbID4RxLuE",53,@BBC
0.6269,Sun Jun 24 09:33:12 +0000 2018,0.0,0.745,0.255,"RT @BBC6Music: Ah, it seems so peaceful @GlastoFest this weekend. (via @bbcsomerset)  https://t.co/JzF0sbDEEh",54,@BBC
0.34,Sun Jun 24 09:04:05 +0000 2018,0.0,0.882,0.118,"Today, England play their first ever match against #WorldCup debutants Panama. 🦁🦁🦁

World Cup 2018: #ENG v #PAN | 1… https://t.co/rZLcc8qfZ8",55,@BBC
0.0,Sun Jun 24 08:37:50 +0000 2018,0.0,1.0,0.0,"RT @BBCWorld: New Zealand's PM reveals her daughter's name as she leaves hospital in Auckland 👶🇳🇿

https://t.co/5E751apfOg https://t.co/Zt7…",56,@BBC
0.0,Sun Jun 24 08:20:08 +0000 2018,0.0,1.0,0.0,"What's happened since #BluePlanet2 first aired and what does Sir David Attenborough think about the response?
👉… https://t.co/Qo4Nu3wQHT",57,@BBC
0.3182,Sun Jun 24 07:01:05 +0000 2018,0.24,0.413,0.347,"⚽️❤️ I. Bloody. Love. Football. 
#WorldCup https://t.co/vrmHGAfFYY",58,@BBC
0.0,Sat Jun 23 20:12:00 +0000 2018,0.0,1.0,0.0,"Over the last 50 years, the flesh-footed shearwater population has dropped by 30%.

Plastic is a major cause of the… https://t.co/KwcWT38E6F",59,@BBC
